series_id,country_code,country_iso2,country_iso3,country_name_zh,country_name_en,indicator_code,indicator_name_zh,indicator_name_en,date,frequency,unit,seasonal_adjustment,calculation,value,source_organization,source_dataset,source_indicator_code,source_indicator_name,source_url,last_updated,status,retrieved_at,data_version
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-02,D,local currency per USD,NSA,level,6.207673,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-05,D,local currency per USD,NSA,level,6.219975,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-06,D,local currency per USD,NSA,level,6.213027,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-07,D,local currency per USD,NSA,level,6.213507,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-08,D,local currency per USD,NSA,level,6.216179,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-09,D,local currency per USD,NSA,level,6.206806,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-12,D,local currency per USD,NSA,level,6.200779,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-13,D,local currency per USD,NSA,level,6.198269,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-14,D,local currency per USD,NSA,level,6.196858,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-15,D,local currency per USD,NSA,level,6.193116,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
